comment,label
照本宣科，一个例题都不讲,0
系统的教纲，让我收获良多,1
好得很呐  实话好    一家的好事大家的好,1
超级不错 很nice,1
还不错，这门课程让我学到了很多,1
海星，计算机基础使真的难,0
非常号，开始讲解清楚细致，课件内容丰富，对于学习计算机有很大帮助。,0
很棒，学到了不少东西,1
老师讲解很有深度，条理清晰，使我学到了很多知识,1
课程微信扫码根本不提醒进度 害我丢了四课的内容 真的很生气,0
有趣！老师讲解通俗已送，课程内容符合自己兴趣，加深对计算机的理解,1
做完题都没有解析，，，，很难受,0
这门组原课是我学过的最好的组原课，强烈推荐！！,1
强烈推荐，老师讲课很有意思，学习计算机的同学认识计算机组成原理也是很有必要的，五星好评，下次还会再来,1
老师们讲的很好，对计算机的掌握有很大帮助。,1
真是太棒了，我学到了很多知识。,1
课程质量佳，收获满满希望学校的课程建设能越来越好,1
课程知识面很广，实践很多,1
课程体系完整，知识点覆盖面广泛,1
太难了 不会,0
不能连续播放，还要自己点课程,0
课程板块非常清晰，老师讲得非常具体好懂,1
还可以，有点听不懂,1
课程中可以学到很多有用的知识！！！！！1,1
为什么我感觉讲的太少了，书上的很多实现和细节都没咋讲。。,0
我觉得应该把课程设置成永久可见，而不是结束了就不能看，也不能下载。国人需团结，知识传播本身就是一件伟大的事，。你们每次开课，结束后不能看，下次又重新讲也累。,0
计算机思维在生活中给了我很大的帮助。,1
提前领略以后要学习的东西，很不错,1
刘老师讲的很好、很细，知识点讲的很形象化。我会继续学习（下）。谢谢，刘老师。,1
正好缺乏这方面的知识，学习一下,1
8月中旬就上新了，可是一直没有课件是为什么呀,0
通俗易懂并且注重动手能力，获益匪浅，点赞！,1
写个作业一直闪退，没法打字。卸载了重新下了一遍，还是没法打字，我服了。根本没法做,0
计算机给我们的生活带来了乐趣，但基础比较弱，学起来具有一定的难度,1
组织架构完美，很能学到东西,1
老师和蔼可亲，内容生动形象，通俗易懂，深入浅出的介绍了计算机相关知识。,1
讲解的比较详细，全面,1
老师讲得系统，全面。将在课堂上老师没有讲到的知识点讲解得很清楚。,1
内容很丰富，老师讲解很具体，实例很好,1
学习感受很好但是软件有问题有时改不了id,0
本课程对于计算机基础差的我来说，真是雪中送炭。感谢这么多优秀老师的细心指导！！！,1
课程质量不高,0
针对所讲的内容，适当的都给出了合理的例子，并且案例展现十分的精致。,0
老师的课通俗易懂，收获满满。,1
与线下授课相比，我们学生可选择的范围更大了,1
计算思维带给了我很多关于计算的想法，让我以后投身数学学科具有很好的指导作用,1
讲解的很仔细，听的也就很认真，课后练习的编程题，极具锻炼性，可以很好的对所学知识做出回顾。,1
学习到了很多以前不知道的知识，以及关于计算机方面的操作。,1
为什么不能向老师提问了 开玩笑嘛 不会的就问不到人是吗,0
啥玩意，我还以为是我老师有问题，现在发现是这本书编的让人接受不了,0
这门课程不仅让我了解了计算机学科的相关内容，也体会到了计算思维的重要性。该门课程的授课老师董荣胜教授讲课风趣幽默，经常举一些现实的例子解释抽象的概念，帮助我们学习。,1
为什么取消电子证书，还要我们花钱买，辣鸡,0
内容充实，很适合初学者。,1
不错不错，提高了我的思维能力,1
不好啊，，，，作为公选课，信息不通，平台、学校、学生,0
从慕课中学到了很多，不仅培养了我互联网信息检索能力，对现代信息环境的理解能力，以及互动与交流能力，更提高了我的综合素质。可以共享不同学校的宝贵的教学资源，不同于传统的课堂教学，网络教学可以给学生更多的自主学习的空间留出思考和学习的空间，非常不错，高效。,1
老师讲的都特别好，习题也都可以及时巩固上课所学内容。,1
讲的挺烂的，基本就是把课本上公式念一遍，还不如自己看，可能华科的同学也是自学能力太强了，所以这老师可有可无。,0
很好，学的很多有用的东西,1
感觉很棒，学到了很多。,1
打个分还要我写？,0
内容丰富，学到了很多知识,1
只能提交一次...,0
对我用处很大，让我更好地了解计算机,1
好！！！！！！！！！！！！！！！！！！！！！,1
内容充实，收获颇多。,1
优秀，非常适合我们学校的教学,1
了解了计算的由来，组成，发展方向,1
本门课程讲述的特别的通俗易懂，以计算学科的基本问题讲授优先，以经典的案例教学为基础，以习题课和实验课的内容加强学生对学科基础概念的理解，将课堂翻转过来，让我们能够尽快了解学科的概貌，培养了我们的计算思维习惯，对于今后的学习有很大帮助。,1
讲授内容充实，讲解思路清晰，授课方法引人入胜，真是一门极品课程！,1
第四周和第三周跨度有些大，对第四周有些不理解,0
不错，不错，不错。,1
总的来说是比较好的了，学习深度也合适。,1
太多广告，经常卡,0
开课早是一个很好的加分项。,1
绝对是上过的最好的MOOC，课程内容和实践紧密结合，可以很快投入到实验中做出成果，秦院长和大萝卜的讲课很棒、课件非常精美、实验配套的软件和资料也非常齐全，很赞。,1
内容很丰富，但是一直上网课，身体有点受不了,0
内容丰富，受益良多。,1
虽然听说计算机组成原理很难，但是一步步从简到易，慢慢做实验，感觉不懂的东西慢慢清晰了。,1
讲授的知识点很细，可以查缺补漏,1
该课程可以弥补课堂上的不懂得地方，可以查漏补缺,1
恶心到死，声音忽大忽小，开头声音又震死人，听都有困难还学？,0
前面的学习内容拓展了我眼界，很有意思。老师的授课方式灵活一点，多带入感情，讲解时多补充课件之外的内容会更好。,0
太棒了，非常喜欢这门课,1
真的增长了我的见识，完成了我的心愿,1
讲解简单易懂，还没有不懂的地方,1
课程测验时间设置极不合理，易漏做。,0
内容丰富，很大收获,1
老师对待这门课程的教学非常地用心，这是一个非常系统的比较全面的计算机科学导论课。课程中老师与课本带领我们学习计算机中的科学以及应用的方方面面，为我们未来的专业学习奠定了非常好的基础。课程线上线下结合教学，通过计算机科学导论相应实验把在课本上学到的科学理论实际动手运用，这是一个非常有趣的学习过程。老师你们辛苦了!,1
课程内容十分详细面面俱到，我觉得真的可以学到不少东西。,1
很基础，暂时还没有深入，还无法评价是否详细。,1
老师讲的太好了，条理清晰，循循善诱。,1
试题答案错误太多了,0
我觉得这个科目让我们更加了解计算机网络，让我对计算机更加了解。,1
老师讲的超级棒，好好好好,1
让我感受什么是计算思维。,1
上这门课要有一些基础，有些数字电路的东西听着不太理解，还需要后期更加深入地研究一下,0
很棒，可以学到很多东西,1
不错，需要什么书啊,0
传说中的PPT老师，口音特难受,0
内容是乱的，非常麻烦,0
讲的很详细，受益匪浅,1
深入浅出，层次分明，结合虚拟实验更容易理解，紧跟计算机科学的发展应用，令人受益良多,1
进度一直不更新，都不知道该看几遍了,0
你觉得这些给一个学习者 能听得懂么？jemter没声音，操作对应的那个步骤是干嘛的 我刚看能理解？,0
真的是一个超级棒的软件，希望下一届有更多的题，这样就可以学到更多的知识，大家都非常努力的学习！！！！,1
这种方式新颖独特，提升了我学习的兴趣与动力。,1
教会了我很多计算机知识，受益匪浅,1
课程内容有趣，课程诙谐，老师上课很有激情,1
好的大学没有围墙，加油,1
为什么我都做完了任务，也都是满分，没有给我算分数啊？,0
一些操作流程都会演示，而且讲得很清楚，听的还可以,0
很具体，很棒，适合小白,1
课程类容很全面，比较丰富，也有很多的实用性，能够学到很多知识,1
讲的都是紧扣原理，能够帮助学子们更好理解C  ，能够有所创新,1
感觉自己在老师的讲解下学的棒棒哒！！!,1
看了视频不显示啊啊啊,0
课程设置合理，课程内容丰富,1
不好，课程学习进度不更新,0
这门课非常具有实用性，,1
书本编的十分的精彩和有趣，题出的十分抓重点,1
线上学习真的很给力啊，疫情期间慕课对于我们的学习提供的无法比拟的帮助,1
计算思维可以为学习计算机学科其他课程打下基础。,1
教学视频思路清晰，老师教得很好,1
课程条理十分清晰，讲解的很明白。,1
内容很棒，可以记得笔记很多,1
太完美了就是每日回复竟然还有限制,0
差评，这课我实在是,0
内容充实，讲解生动,1
从来没见到过这么认真负责的网课，不仅有pdf还有文档说明，爱了爱了，讲的也非常好，例子也很生动,1
课堂内容很好，编辑者确实花了心思与精神，感谢编辑者们我们才有一个如此好的学习平台。,1
学习有趣，层层递进，非常快乐。,1
讲授的很明白，也有拓展知识，很喜欢。,1
课程比较有趣，还可以。,1
老师讲的干货很多，也很紧凑，由于基础差，我跟的很吃力，但课程是很好的,1
讲解语气和听课气氛比较压抑，很多部分的内容不够细致,0
我做题目，时间给30min ncbi打都打不不开你让我怎么做题？ 零分？,0
不知不觉间，本学期的计算机科学导论课程已经结课，我感到受益匪浅。通过老师细致入微的讲解，使我学习到了很多前所未有的新知识，接触到了不同层面的信息，丰富了知识，拓宽了视野，陶冶了情操，同时也激发了我对其他科目学习的热情。感谢李凤英老师一路以来对我的关怀和照顾，我真的很感动，在离家这么远的地方上学还能遇到这么好的老师。我对老师教学内容非常满意，希望有机会能够再次聆听到她的讲解。,1
毕业已5年并且对程序设计毫无基础的我学着收获满满。真棒！希望学完课程后，能掌握好C  。,1
对于计算思维有了很深的理解，能用来分析生活中的问题,1
老师讲的特别好，对学习这门课的兴趣更加浓厚。,1
学习有收获，更加充实知识,1
收获很大 感觉很有效果,1
讲的知识自习又全面，便于学习,1
嗯，非常棒，超级好,1
很好，提升自身实力,1
差极了，总是崩溃，反馈奇慢无比,0
老师高屋建瓴，讲解的很到位，只是在高级语言上感觉没必要有实验课。,0
在慕课找计算机课程必须是工大，只能说最好，北大都不及。老师实力雄厚、大多为领域专家、有课程出书。老师讲课掷地有声，有特点，深入浅出、思路清晰透彻、有深度更前沿。,1
其实给一星不是说老师们讲得不好，而是整个设计太为难人了，完成作业后还要互评，找不到互评的人，太难了，完成得再好也没有分。,0
觉得挺不错，就是更新太慢。不贴切人，还有就是为什么我明明没有提交考试答案后台没有显示，导致我错过了考试挂科/??/?/????？//////希望能给我一个答案。谢谢。,0
太强了！！！！！！,1
整体感受很好，老师讲的比较细致，举例适当。大学时没好好听，又回来重新打基础来了,1
重点一步到位，简洁易懂,1
有所收获，不过声音有时会比较难听,0
好！对学习很有帮助！,1
课程内容比较完善，老师授课独树一帜。,1
课程讲解细致入微，通俗易懂，课件条理也很清晰，学起来比较轻松，测试题也抓住重点，较好地训练知识点，总的来说课程很不错。,1
"""""""该课程书本很厚,内容丰富详细，不怕你看不完，就怕你看到收获不完！老师教学也很独特，总能把看似复杂的问题转换成浅显易懂的理论知识而为大家所接受。同时，还不忘拓展知识点，认真了你才会发现自己的脑容量不足。""""""",1
好实用，自学时碰到一些类似的内容,1
计算机网络课程提高了我的综合素质 也学到了很多客观和主管的知识。,1
很新颖，老师都讲的很好,1
学习的可以，感觉这个网课挺好的,1
涉及面广，老师讲题清晰,1
课程很丰富，内容很精彩,1
这个课程非常好，很适合我们学习，而且容易学懂,1
卡。。。。。,0
课程内容安排合理，老师讲解清晰，能学到很多东西。,1
"""""""大萝卜,就是好吃!""""""",1
计算机课程教会了我许多有关计算思维的理论，是我能在学习和生活中更好地进行思考。,1
课程特别好！！很有帮助,1
非常棒！老师们讲的都很好！我最喜欢陈宇峰老师~,1
编程能力有了很大的提升，语法方面,1
真的非常棒，老师讲的很详细，提出的问题也可以尽快帮我解决，太优秀了。,1
建议录制课程时，麦克风换个好的，声音不清楚，一卡一卡的,0
老师用简洁的话语和生动地举例来介绍计算思维，使我可以快速得明白。,1
花这些时间做这些题太值得了！,1
可以很方便的学习，不会的可以重复看。讲解得非常细。,1
我作为普通本科院校学生，慕课的出现给我提供了优质的教学资源，我觉得自己获得了和高校学生平等学习的机会。,1
电路这块对跨考生而言，难度略大。,0
这门课程有效的帮助我学习使用计算机，它真是一门不错的课程,1
互评有毛用，一点也不公平,0
作业考试时间安排不合理,0
真的挺不错的一门课程，从细微的讲到宏观的很好,1
泛泛而谈，讲课水平差，思路不连贯，照本宣科，不知道是怎么评上国家精品课程的，强烈建议取消。,0
收获很多，更加细致的了解了什么时计算机。,1
网课的形式更加方便，且不会的地方可反复观看,1
学到的内容较少,0
老师授课的方式非常适合我们，他根据本课程知识结构的特点，重点突出，层次分明。理论和实际相结合，通过例题使知识更条理化。,1
明明回帖的，但是就是差几分及格，,0
课程还不错，老师讲解的还可以，只是不知道有没有最新的课件,0
战老师的课让我受益匪浅，所讲范围涵盖面积大，深度广。,1
授课方式很好，学习模式也很适合,1
课上不懂，网上来凑,1
有些课没有测验，是不重要吗,0
优秀，讲的非常好！,1
课太难刷了，要了我的老命了,0
这门课很虚，毫无意义，不理解为什么为什么要用这种形式来上这门课程，总之很失望。,0
内容充实，非常喜欢,1
老师讲的很棒，必须满分,1
老师讲的真好，计算机体系总体讲的齐全，对我的职业发展有很大的帮助，让我对计算机有了整体的把握。,1
非常非常好，有帮助,1
"""""""课程内容十分精彩，非常丰富，可以学到很多知识，让初学者更加了解有关计算机的一些基本问题,为以后学习计算机方面的技术打下基础。""""""",1
老师能不能举个例子，不照着稿子读,0
了解了计算机相关基础知识 丰富了视野 培养了现代社会的一些基本素养 值得推荐,1
课程清楚，明白，利于学习,1
授课方式多样丰富，具有较高公平性，但学习效果主要依靠学生自觉。对学生学习效果的检验还需要进一步探索。,0
深入浅出，深刻充实,1
课程很好，老师讲解的也很细致,1
老师讲得很细致，练习给的也够多。,0
作业就不能一次性都放出来嘛?期末考试都考完了我还得隔三岔五来看看有没有更新题目？？？,0
满满的收获感，丰富的知识内容，广泛的实际用途 。,1
内容丰富，开拓视野，老师讲的也好，加油,1
很喜欢的，开放的课程更多，课程质量也有个分类就好了,0
完全照着课本念，希望更多的加入一些自己的理解，把上下文串联起来。这个课程不需要听课，看课件就足够了。看吴恩达的机器学习或者周志华的机器学习视频更好。,0
画片在播放时每一帧的图形都被转化为图像而播放出来，所以局部放大会模糊我们一般在网络上下载的图片都是位图图像，由像素点组成，像素点的多少由分辨率决定，在更高的分辨率下观看图片，就会使得像素点放大，看上去像马赛克色块导致图片的不清晰。,0
垃圾，回答问题，只要有党这个字，就不能过审，还让我们怎么回答问题了,0
内容安排合理，各位老师讲的很好，尤其李凤霞老师讲的课，深入浅出，把一个复杂的内容，能够三言两语讲明白，讲清楚，讲透彻，受益匪浅。唯一一点就是每个单元的考试时间日期限制的太死，有时候，像我们这样的课外学习者会忙得搞忘记。,0
老师讲课很细节，内容涉及广，易懂,1
老师讲解周到细致，对个别问题讲解的很棒,1
课程的内容我个人觉得还算简单可能是由于刚开始的原因，我希望以后的讲课也能继续保持这种循循善诱的方式，这样我们便于接受。,0
喜欢老师的授课模式，众里群他千百度，那人却在灯火阑珊处。我看过几个计算机视频。总的来说，告诉你这样做才会，不告诉你就是不会。可是生活计算机遇到的问题，怎么可能像老师讲的那么简单。我学什么都喜欢找规律，找一个为什么这样的思维？可是到做excel时为什么？就是你必须这样做。就是对的。搞得学计算机像鸭子填充法。脑子根本不转。以下希望非计算机专业的学生，也学习学习，毕竟社会需要全能人才。,1
除了他们本校选择的有个结果，我们其他在慕课上修的连个结果都没，多少分，几个没有，合格证书啥都没有，就一个公告要求他们本校学生在规定时间里完成。不负责任，有头没尾，提问的也没得到回答，简直是慕课的差评差评。。。,0
老师，能不能把所有的视频和课件全部放出来，因为我是一名考研的学生，要在一个月内复习完本课程,0
实验也能用慕课啊,0
最后得分计算安排不合理,0
不知道为什么已学习的课不刷新？,0
为什么看了没有记录课时的呢？,0
挺好的 学到了很多知识,1
垃圾oj，根本不知道想判啥,0
文不对题，题目内容与课程内容完全不符,0
老师讲的非常好，细致，浅入深出。,1
到现在还在讲 char s[50]?,0
感觉对计算机的认识更进一步，了解了很多不知道的内容,1
我是做计算机网络方面工作的，通过课程的学习查漏补缺进一步丰富自己的知识量；老师讲授十分仔细，而且课后讨论老师也会第一时间进行回复，感谢各位老师的付出，谢谢你们！,1
学到很多新的知识点，让我对计算机有了新的认识。不过知识扩展和实验环节声音太小了，有点影响观看效果，望改进下。,0
方便我们的学习，很喜欢！,1
内容丰富，给与我课程之外的知识。,1
容易理解。感觉老师讲的很好。,1
很有用啊!课堂上有时候老师将太快了没听懂后面可以看视频学习，非常nice!,1
课程内容好，学习效率高,1
线下学习活动丰富多彩，能学到很多知识,1
老师讲解条理清晰，容易理解,1
哈工大nb，yyds，刘宏伟老师讲得很好！对我学习408课程的入门产生了很大的帮助！,1
除了头疼，没有任何的其他可以说的。。。,1
可以学习更多的知识，有巩固知识点的作用,1
老师讲得很好，思路清晰，表达顺畅，很容易接受。,1
认识到了计算机是怎么理解人类语言，和计算机深层次的工作原理，,1
之所以不参加毕业考试是因为我觉得我确实离C  的毕业水平还有差距,1
我从中收获了许多知识，关于计算机，在互动中探讨加深知识记忆,1
好评，虽然在B站学过一遍了,1
"""""""厉害,很有用,贴近生活,做一个网络牛人""""""",1
作业认真，解答完整。,1
刘宏伟老师的课深入浅出，通俗易懂，非常棒！,1
通过别人分享的问题和老师的解答，让我们学到了许多以前所不知到的一些知识，也丰富了我们的知识结构,1
讲解细致到位，通俗易懂。对于学过C再来学C++的我表示，讲解内容都能理解！,1
没答案，只知道错了却不知道怎么错了,0
不愧是哈工大的老师，讲得通俗易懂，非常好,1
系统地学习了计算机各方面的基础知识，为往后的专业学习打下了坚实的基础,1
让我了解了计算机原理，计算机不再那么神秘了,1
课程很好，受益匪浅,1
哈哈哈哈哈哈、、、、,1
非常喜欢这个科目，爱了爱了,1
感觉还不错，就是有地方听不太懂,0
非常好，学进脑子了,1
老师讲的很清楚，题目也不错,1
让人学会了许多的 知识,1
我觉得老师们讲的课非常好。有些比较深的内容都被他讲得很通透。我觉得对我的课程有极大的帮助。点个赞。,1
老师的功底非常深厚，这样的课程估计只有哈工大这种学校里面的名师才能出得了这样的课程，哈工大是我见过少数的做得这么认真的学校，我给哈工大点赞,1
老师讲的非常清晰，对特别细的知识点关注的也很到位。,1
是个不错的课程呢，数据丢失，提交时间突然更改，让人真是刮目相看呢,0
这个评分是不是有问题！！！,0
hao 很好好 好,1
我是河南工学院物联网201陈俊燚，学号2007421106，这个课讲的真棒！,1
学到了很多，就是还要自己在消化消化，老师讲的很多也很好,1
课程内容新颖，老师讲解的通俗易懂。,1
老师讲课有口音，难理解,0
科学导论的知识在别的相关科目中都有涉及，我觉得特别有帮助。,1
通过网络课程的学习，能够扩展课堂学习的深度。,1
说是让学生互评，但是却不让进入评分页面，不让进去还说是我没改，要扣我的分。呵呵,0
非常好的课程，对计算机专业的同学很有帮助，有点基础看的话理解会更深入，老师讲得很好，准备非常用心,1
我全对，为什么才60分，不管测验还是期末，我全正确，为什么才60分？？？？,0
真他妈的好，就是太他妈的多了,0
此次学习培训的方式非常不错，对于我们在职教师来说，平时都很忙，没时间学习，这种通过网络形式学习，可以随时学，也可以边学边做其他工作，还可以反复学 特别好,1
讲的并不透彻,0
老师发的期末主观题考试 时间太短了,0
挺好的 方便学习 合理安排时间,1
物竞天择，适者生存，计算机经历了几百年的完善，进化终于破壳,1
老师讲的很好，同时这个课程对我十分有意义，个人感觉是一个十分好的课程。,1
专业知识讲解的很清楚，很容易学到真正的知识,1
看完第一章之后做测试发现讲课的内容在测试里面完全没有,0
很使用，以后一定会用到、,1
学习计算机发现了很多好玩的地方，也激发了我学习计算机的动力，以后也会继续努力学习下去，最后希望大家过一个好年，争取不挂科’,1
挺好的，最好是提供扩展知识的渠道,1
课程内容具体，细节处到位,1
国家精品课程全程左声道讲课，戴上耳机听课真是越听越膈应，麻烦把声道问题解决一下，现在几乎都是戴着耳机听课，这个声道问题让人体验感极其差，对照课本只感觉讲的有点少，如果是无基础的同学，听起来有点费力。,0
特别失望！！！！！！！讲的一点都不好，就知道照ppt念,0
战老师讲的太棒了，值得多看几遍！,1
我了解了一些计算机网络历史的知识，并且知道了计算机网络未来的发展方向。,1
不知道这些老师怎么想的，照着书念，一字不差。这本教材很不错，还是非常值得拿来参考学习的，但是，我只想说，你们这样糊弄课程，真是白瞎自己编的这本好教材了。羞耻！,0
我是一名其他专业的学生，但是对计算机感兴趣而决定自学计算机，本来想只是随便上上这个课，有所了解就行，把主要的心思的放在编程语言的学习上，但是通过两周的《大学计算机》课程的学习，让我知道了太多计算机的原理，个人也觉得十分有趣，有太多的知识对我学习编程有很大的作用，真是一个不可思议的课程。,1
互评真的好麻烦，浪费时间,0
课程内容很详尽，讲解的很详细，课程安排也很合理。,1
对理论知识的掌握更加系统，全面，给我们在计算机应用方面起了导向作用，能让我们更好地去操作计算机，能够很好地吸收、消化知识,1
大致上把计算机的基础知识介绍了一遍，如果认真去学的话还是能了解不少知识的，也为以后的进一步学习打了点基础。但是有些概念性的东西还是要用不少时间来理解消化。总之，是一门不错的课程,1
通过本次课程的学习，我对计算机组成原理这门课程有了更深刻的了解。,0
通过课程学习，对计算机，程序等的构造有了深入的理解。,1
内容不全面，瑕疵也比较多：单元测验的题库里存在很多重复的题目，某些题目明显答案错误，最后这个课没有设置优秀档，分再高也只是合格。,0
非常的好！适合入门,1
2021年的课，还用ieee1394，pci就过时了。建议换成PCI-E和雷电系列总线,0
讲的有逻辑 有来由 但是缺乏精细度,0
超级棒，老师讲课很用心,1
收获很多，很大，duangduang的,1
知识点多且乱,0
很好很好很好很好。,1
很棒，学习到了很多知识,1
挺不错   完成的很好,1
占老师作为工大的mooc先锋，名副其实，好课应长存，告别了大计基，新的征程----  编程  已经开始！,1
，学了不显示，还就那样，要怎么弄？反复横跳，哇哦，说都不能说,0
有很多收获，养成了好的学习习惯,1
看过的学时都不同步，看了一个小时才加几分钟,0
课程的内容组织脉络清晰，相关知识点关联例子通俗易懂，降低的学习的困难程度，提高了学习的兴趣。,1
证书呢？啊啊啊啊啊啊,0
"""""""线下跟着顾刚老师的课学习了c  , 线上赵英良老师给解答了很多的疑惑，学习编程的引导者，可惜不用几乎都忘了，现在重新学习，感谢老师们""""""",1
很好，学到的东西受益终生,1
我是一个非计算机专业的本科毕业生，处于个人喜欢，重新接触。老师讲课很认真、详细，只要认真学，我相信肯定会有收获的。,1
好 太好了，超级好,1
马家沟机械狗收获也很多，这样站在计算机系统的角度去将问题其实才更助于理解本质。,1
课程很有趣，内容很丰富。,1
很方便，学到很多的东西。,1
每单元都要换老师这种授课方式接受不了,0
还可以吧，不是很能听懂,1
镜头不给黑板板书的内容给老师？？？？这蜜汁镜头我很地铁老人看手机,0
非常非常好的课程，很喜欢站教授。,1
内容很好，值得学习,1
受益匪浅，收获颇丰,1
还可以，掌握了一些基本的理论知识,1
老师讲得很清楚，深入浅出，条例清晰，让人获益匪浅。,0
就这？就这垃圾课程？4-2音画不同步那是真的牛逼，女的说话我要死了·，就这？还出视频？你们出视频不好好审核的吗，就这垃圾视频·也好意思说人人会建模，垃圾,0
比起线下线上感觉更容易学的懂  可能是老师讲的好 详细生动  谢谢老师,1
